fold,accuracy,precision_macro,recall_macro,f1_macro
1,0.8211981566820277,0.7996301475588975,0.7988104128880827,0.7992166693375456
2,0.8201107011070111,0.7973160885167464,0.8039014530629711,0.8003541829000496
3,0.8357933579335793,0.817752152340609,0.8095352720242395,0.8133348812011454
4,0.8377880184331797,0.8184865900383141,0.8167342366371493,0.8175955006380718
5,0.8247232472324724,0.8047618861417305,0.7977938507506028,0.801039432755656
6,0.8145756457564576,0.7913873616027717,0.7956369902530538,0.7934057556699066
7,0.808294930875576,0.7855802959764138,0.8033847220740424,0.7920797187437811
8,0.8468634686346863,0.8378556008036506,0.8103338262208518,0.8212990438509726
9,0.8210332103321033,0.7982591076529986,0.8059627927236047,0.8017594069448687
mean,0.8255978596652327,0.8056699145146813,0.8046770618482887,0.8044538435602219
std,0.0122307097634679,0.016262533253225478,0.006786204090080592,0.01045029524317089
